SM=133 | 11.734 ms | 45.75 GB/s
SM=134 | 11.734 ms | 45.75 GB/s
SM=135 | 11.732 ms | 45.76 GB/s
SM=136 | 11.749 ms | 45.70 GB/s
SM=137 | 11.749 ms | 45.70 GB/s
SM=138 | 11.734 ms | 45.75 GB/s
SM=139 | 11.734 ms | 45.75 GB/s
SM=140 | 11.732 ms | 45.76 GB/s
SM=141 | 11.731 ms | 45.76 GB/s
SM=142 | 11.738 ms | 45.74 GB/s
SM=143 | 11.738 ms | 45.74 GB/s
SM=144 | 11.738 ms | 45.74 GB/s
SM=145 | 11.738 ms | 45.74 GB/s
SM=146 | 11.737 ms | 45.74 GB/s
SM=147 | 11.737 ms | 45.74 GB/s
